forest_name,species,present
Kaibab National Forest,boloria_epithore,TRUE
Klamath National Forest,boloria_epithore,TRUE
Kootenai National Forest,boloria_epithore,TRUE
Lake Tahoe Basin Management Unit,boloria_epithore,TRUE
Lassen National Forest,boloria_epithore,TRUE
Lincoln National Forest,boloria_epithore,FALSE
Lolo National Forest,boloria_epithore,TRUE
Los Padres National Forest,boloria_epithore,TRUE
Malheur National Forest,boloria_epithore,FALSE
Manti-La Sal National Forest,boloria_epithore,TRUE
Medicine Bow-Routt National Forest,boloria_epithore,FALSE
Mendocino National Forest,boloria_epithore,TRUE
Modoc National Forest,boloria_epithore,TRUE
Mt. Baker-Snoqualmie National Forest,boloria_epithore,TRUE
Mt. Hood National Forest,boloria_epithore,TRUE
Nebraska National Forest,boloria_epithore,FALSE
Nez Perce-Clearwater National Forest,boloria_epithore,TRUE
Ochoco National Forest,boloria_epithore,FALSE
Okanogan-Wenatchee National Forest,boloria_epithore,TRUE
Olympic National Forest,boloria_epithore,TRUE
Payette National Forest,boloria_epithore,FALSE
Pike and San Isabel National Forests,boloria_epithore,FALSE
Plumas National Forest,boloria_epithore,TRUE
Prescott National Forest,boloria_epithore,TRUE
Rio Grande National Forest,boloria_epithore,FALSE
Rogue River-Siskiyou National Forests,boloria_epithore,TRUE
Salmon-Challis National Forest,boloria_epithore,TRUE
San Bernardino National Forest,boloria_epithore,TRUE
San Juan National Forest,boloria_epithore,FALSE
Santa Fe National Forest,boloria_epithore,FALSE
Sawtooth National Forest,boloria_epithore,TRUE
Sequoia National Forest,boloria_epithore,TRUE
Shasta-Trinity National Forest,boloria_epithore,TRUE
Shoshone National Forest,boloria_epithore,FALSE
Sierra National Forest,boloria_epithore,TRUE
Siuslaw National Forest,boloria_epithore,TRUE
Six Rivers National Forest,boloria_epithore,TRUE
Stanislaus National Forest,boloria_epithore,TRUE
Tahoe National Forest,boloria_epithore,TRUE
Tonto National Forest,boloria_epithore,TRUE
Uinta-Wasatch-Cache National Forest,boloria_epithore,TRUE
Umatilla National Forest,boloria_epithore,TRUE
Umpqua National Forest,boloria_epithore,TRUE
Wallowa-Whitman National Forest,boloria_epithore,TRUE
White River National Forest,boloria_epithore,FALSE
Willamette National Forest,boloria_epithore,TRUE
Angeles National Forest,celastrina_echo,TRUE
Apache-Sitgreaves National Forests,celastrina_echo,TRUE
Arapaho and Roosevelt National Forests,celastrina_echo,TRUE
Ashley National Forest,celastrina_echo,FALSE
Beaverhead-Deerlodge National Forest,celastrina_echo,TRUE
Bighorn National Forest,celastrina_echo,TRUE
Bitterroot National Forest,celastrina_echo,FALSE
Black Hills National Forest,celastrina_echo,TRUE
Boise National Forest,celastrina_echo,TRUE
Bridger-Teton National Forest,celastrina_echo,TRUE
Caribou-Targhee National Forest,celastrina_echo,TRUE
Carson National Forest,celastrina_echo,TRUE
Cibola National Forest,celastrina_echo,TRUE
Cleveland National Forest,celastrina_echo,TRUE
Coconino National Forest,celastrina_echo,TRUE
Columbia River Gorge National Scenic Area,celastrina_echo,TRUE
Colville National Forest,celastrina_echo,TRUE
Coronado National Forest,celastrina_echo,TRUE
Custer Gallatin National Forest,celastrina_echo,TRUE
Dakota Prairie Grasslands,celastrina_echo,FALSE
Deschutes National Forest,celastrina_echo,TRUE
Dixie National Forest,celastrina_echo,TRUE
Eldorado National Forest,celastrina_echo,TRUE
Fishlake National Forest,celastrina_echo,TRUE
Flathead National Forest,celastrina_echo,TRUE
Fremont-Winema National Forest,celastrina_echo,TRUE
Gifford Pinchot National Forest,celastrina_echo,TRUE
Gila National Forest,celastrina_echo,TRUE
"Grand Mesa, Uncompahgre and Gunnison National Forests",celastrina_echo,TRUE
Helena-Lewis and Clark National Forest,celastrina_echo,TRUE
Humboldt-Toiyabe National Forest,celastrina_echo,TRUE
Idaho Panhandle National Forests,celastrina_echo,TRUE
Inyo National Forest,celastrina_echo,TRUE
Kaibab National Forest,celastrina_echo,TRUE
Klamath National Forest,celastrina_echo,TRUE
Kootenai National Forest,celastrina_echo,TRUE
Lake Tahoe Basin Management Unit,celastrina_echo,TRUE
Lassen National Forest,celastrina_echo,TRUE
Lincoln National Forest,celastrina_echo,TRUE
Lolo National Forest,celastrina_echo,TRUE
